ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0042989	sequestering of actin monomers	1	1	PBANKA_0833000,	100.0	155.78	inf	0.00641940085593	0.153133001805	0.924393723254
GO:0006104	succinyl-CoA metabolic process	1	1	PBANKA_1013200,	100.0	155.78	inf	0.00641940085593	0.153133001805	0.924393723254
GO:0035825	reciprocal DNA recombination	2	1	PBANKA_0714000,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0051321	meiotic cell cycle	2	1	PBANKA_0714000,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0007131	reciprocal meiotic recombination	2	1	PBANKA_0714000,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:1903046	meiotic cell cycle process	2	1	PBANKA_0714000,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0035383	thioester metabolic process	2	1	PBANKA_1013200,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0006637	acyl-CoA metabolic process	2	1	PBANKA_1013200,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0007127	meiosis I	2	1	PBANKA_0714000,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0007126	meiotic nuclear division	2	1	PBANKA_0714000,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0000003	reproduction	2	1	PBANKA_0714000,	50.0	77.89	163.82	0.0127998684922	0.153133001805	1.0
GO:0032272	negative regulation of protein polymerization	3	1	PBANKA_0833000,	33.3	51.93	81.88	0.0191416252257	0.153133001805	1.0
GO:0051494	negative regulation of cytoskeleton organization	3	1	PBANKA_0833000,	33.3	51.93	81.88	0.0191416252257	0.153133001805	1.0
GO:0031333	negative regulation of protein complex assembly	3	1	PBANKA_0833000,	33.3	51.93	81.88	0.0191416252257	0.153133001805	1.0
GO:0030837	negative regulation of actin filament polymerization	3	1	PBANKA_0833000,	33.3	51.93	81.88	0.0191416252257	0.153133001805	1.0
GO:0051129	negative regulation of cellular component organization	3	1	PBANKA_0833000,	33.3	51.93	81.88	0.0191416252257	0.153133001805	1.0
GO:0010639	negative regulation of organelle organization	3	1	PBANKA_0833000,	33.3	51.93	81.88	0.0191416252257	0.153133001805	1.0
GO:0042176	regulation of protein catabolic process	3	1	PBANKA_0303600,	33.3	51.93	81.88	0.0191416252257	0.153133001805	1.0
GO:1902589	single-organism organelle organization	38	2	PBANKA_0714000,PBANKA_0833000,	5.3	8.2	9.55	0.023871189266	0.160673655616	1.0
GO:0045185	maintenance of protein location	5	1	PBANKA_0833000,	20.0	31.16	40.91	0.0317098893041	0.160673655616	1.0
GO:0051235	maintenance of location	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0032271	regulation of protein polymerization	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0030833	regulation of actin filament polymerization	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0007059	chromosome segregation	6	1	PBANKA_1115700,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0008064	regulation of actin polymerization or depolymerization	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0051493	regulation of cytoskeleton organization	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0090066	regulation of anatomical structure size	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0043254	regulation of protein complex assembly	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0030832	regulation of actin filament length	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0032956	regulation of actin cytoskeleton organization	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0032970	regulation of actin filament-based process	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0030036	actin cytoskeleton organization	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0032535	regulation of cellular component size	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0044087	regulation of cellular component biogenesis	6	1	PBANKA_0833000,	16.7	25.96	32.72	0.0379368353537	0.160673655616	1.0
GO:0030029	actin filament-based process	7	1	PBANKA_0833000,	14.3	22.25	27.25	0.044125947921	0.176503791684	1.0
GO:0033043	regulation of organelle organization	7	1	PBANKA_0833000,	14.3	22.25	27.25	0.044125947921	0.176503791684	1.0
