ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0006412	translation	211	12	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1215600,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	5.7	7.97	19.48	1.79392413757e-09	2.02713427546e-07	2.02713427546e-07
GO:0044267	cellular protein metabolic process	491	14	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1120700,PBANKA_1215600,PBANKA_1216500,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	2.9	4.0	11.29	2.9866943666e-07	1.02420912515e-05	3.37496463426e-05
GO:0034645	cellular macromolecule biosynthetic process	331	12	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1215600,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	3.6	5.08	11.59	3.16830488528e-07	1.02420912515e-05	3.58018452037e-05
GO:0009059	macromolecule biosynthetic process	335	12	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1215600,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	3.6	5.02	11.43	3.62551902708e-07	1.02420912515e-05	4.0968365006e-05
GO:0019538	protein metabolic process	549	14	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1120700,PBANKA_1215600,PBANKA_1216500,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	2.6	3.58	9.81	1.26515270987e-06	2.8592451243e-05	0.000142962256215
GO:0010467	gene expression	432	12	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1215600,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	2.8	3.89	8.44	5.9971189436e-06	0.000105883238935	0.000677674440627
GO:0044249	cellular biosynthetic process	438	12	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1215600,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	2.7	3.84	8.3	6.96299848365e-06	0.000105883238935	0.000786818828653
GO:1901576	organic substance biosynthetic process	441	12	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1215600,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	2.7	3.81	8.23	7.49615850867e-06	0.000105883238935	0.00084706591148
GO:0009058	biosynthetic process	462	12	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1215600,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	2.6	3.64	7.78	1.23672751162e-05	0.000155278009792	0.00139750208813
GO:0044260	cellular macromolecule metabolic process	816	14	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1120700,PBANKA_1215600,PBANKA_1216500,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	1.7	2.41	5.77	0.000172959596518	0.00195444344065	0.0195444344065
GO:0043170	macromolecule metabolic process	875	14	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1120700,PBANKA_1215600,PBANKA_1216500,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	1.6	2.24	5.21	0.000393810451127	0.00404550736157	0.0445005809773
GO:0044237	cellular metabolic process	1033	15	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1120700,PBANKA_1125600,PBANKA_1215600,PBANKA_1216500,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	1.5	2.04	5.2	0.000564723387753	0.00531781190134	0.0638137428161
GO:0044238	primary metabolic process	1067	15	PBANKA_0403000,PBANKA_0405400,PBANKA_0511900,PBANKA_0603200,PBANKA_0922100,PBANKA_0923400,PBANKA_1013100,PBANKA_1120700,PBANKA_1125600,PBANKA_1215600,PBANKA_1216500,PBANKA_1229200,PBANKA_1355100,PBANKA_1406800,PBANKA_1456100,	1.4	1.97	4.94	0.000844597613203	0.00734150233015	0.095439530292
